Timestamp,UsedRAM_MB,TotalRAM_MB,CPU_Usage_Percent
19:57:21,1194,2762,6.2
19:57:22,1197,2762,17.3
19:57:23,1195,2762,5.4
19:57:24,1195,2762,10.7
19:57:25,1197,2762,12.4
19:57:26,1196,2762,5.3
19:57:27,1197,2762,4.2
19:57:29,1198,2762,14.2
19:57:30,1198,2762,29.4
19:57:31,1191,2762,8.4
19:57:32,1192,2762,21.9
19:57:33,1191,2762,8.8
19:57:34,1191,2762,9.5
19:57:36,1192,2762,12.5
19:57:37,1193,2762,6.2
19:57:38,1193,2762,2.2
19:57:39,1192,2762,2.9
19:57:40,1192,2762,3.3
19:57:41,1192,2762,10.7
19:57:42,1191,2762,8.5
19:57:43,1192,2762,3.5
19:57:44,1194,2762,13.2
19:57:45,1192,2762,7.8
19:57:47,1192,2762,3.1
19:57:48,1195,2762,15.8
19:57:49,1193,2762,7.3
19:57:50,1193,2762,4.1
19:57:51,1195,2762,16.2
19:57:52,1194,2762,11.1
19:57:53,1193,2762,3.9
19:57:54,1196,2762,12.5
19:57:56,1195,2762,6.9
19:57:57,1195,2762,3.9
19:57:58,1197,2762,11.9
19:57:59,1196,2762,10.1
19:58:00,1196,2762,4.2
19:58:01,1197,2762,5.7
19:58:02,1199,2762,12.6
19:58:03,1197,2762,8.0
19:58:04,1196,2762,5.4
19:58:05,1199,2762,11.9
19:58:06,1197,2762,5.7
19:58:08,1192,2762,20.8
19:58:09,1192,2762,14.2
19:58:10,1190,2762,7.7
19:58:11,1191,2762,7.7
19:58:12,1193,2762,18.6
19:58:13,1198,2762,20.0
19:58:14,1196,2762,5.7
19:58:15,1198,2762,7.4
19:58:16,1197,2762,19.3
19:58:17,1197,2762,13.3
19:58:19,1195,2762,4.0
19:58:20,1198,2762,12.9
19:58:21,1197,2762,7.3
19:58:22,1195,2762,6.7
19:58:23,1196,2762,6.4
19:58:24,1197,2762,16.0
19:58:25,1196,2762,10.1
19:58:26,1197,2762,3.3
19:58:27,1199,2762,8.8
19:58:28,1199,2762,12.5
19:58:29,1197,2762,10.2
19:58:31,1197,2762,4.7
19:58:32,1201,2762,11.9
19:58:33,1200,2762,8.5
19:58:34,1200,2762,5.4
